Datetime,Open,High,Low,Close,Adj Close,Volume,Prediction,pointpos,Cash,Position,Portfolio Value
2024-06-18 15:08:00+00:00,25.99575,26.00375,25.95,25.95,25.95,0.0,0,,12036.257479547778,,12036.257479547778
2024-06-18 15:09:00+00:00,25.9955,26.025,25.9798,26.00835,26.00835,0.0,0,,12036.257479547778,,12036.257479547778
2024-06-18 15:10:00+00:00,26.009,26.009,25.995,25.995,25.995,0.0,0,,12036.257479547778,,12036.257479547778
2024-06-18 15:11:00+00:00,26.007,26.007,26.007,26.007,26.007,0.0,0,,12036.257479547778,,12036.257479547778
2024-06-18 15:12:00+00:00,26.044,26.0975,26.044,26.0975,26.0975,0.0,0,,12036.257479547778,,12036.257479547778
2024-06-18 15:13:00+00:00,25.9931,25.9931,25.9931,25.9931,25.9931,0.0,0,,12036.257479547778,,12036.257479547778
2024-06-18 15:14:00+00:00,26.0265,26.0596,26.0265,26.0596,26.0596,0.0,0,,12036.257479547778,,12036.257479547778
2024-06-18 15:15:00+00:00,26.014,26.014,25.9995,25.9995,25.9995,0.0,0,,12036.257479547778,,12036.257479547778
2024-06-18 15:16:00+00:00,26.0445,26.0445,26.0445,26.0445,26.0445,0.0,0,,12036.257479547778,,12036.257479547778
2024-06-18 15:17:00+00:00,26.01,26.01,26.01,26.01,26.01,0.0,0,,12036.257479547778,,12036.257479547778
2024-06-18 15:18:00+00:00,26.005,26.005,25.934,25.934,25.934,0.0,0,,12036.257479547778,,12036.257479547778
2024-06-18 15:19:00+00:00,25.9485,25.9485,25.9485,25.9485,25.9485,0.0,0,,12036.257479547778,,12036.257479547778
2024-06-18 15:22:00+00:00,26.1072,26.1465,26.1072,26.1465,26.1465,0.0,0,,12036.257479547778,,12036.257479547778
2024-06-18 15:23:00+00:00,26.1603,26.21385,26.1603,26.21385,26.21385,0.0,0,,12036.257479547778,,12036.257479547778
2024-06-18 15:24:00+00:00,26.23,26.23,26.23,26.23,26.23,0.0,0,,12036.257479547778,,12036.257479547778
2024-06-18 15:26:00+00:00,26.174,26.174,26.174,26.174,26.174,0.0,0,,12036.257479547778,,12036.257479547778
2024-06-18 15:28:00+00:00,26.19695,26.19695,26.17225,26.17225,26.17225,0.0,0,,12036.257479547778,,12036.257479547778
2024-06-18 15:29:00+00:00,26.1116,26.1116,26.1116,26.1116,26.1116,0.0,0,,12036.257479547778,,12036.257479547778
2024-06-18 15:30:00+00:00,26.1274,26.1274,26.1274,26.1274,26.1274,0.0,0,,12036.257479547778,,12036.257479547778
